date,close,volume
2019-09-10,10093.01,14906809639
2019-09-09,10310.0,17595943368
2019-09-08,10398.97,13670567493
2019-09-07,10484.37,15307366476
2019-09-06,10308.92,19536574783
2019-09-05,10574.73,14551239508
2019-09-04,10581.84,16742664769
2019-09-03,10628.48,19384917989
2019-09-02,10381.26,17248102294
2019-09-01,9766.52,11445355859
2019-08-31,9600.86,11454806419
2019-08-30,9582.42,13595263986
2019-08-29,9495.0,17045878501
2019-08-28,9714.31,17603790323
2019-08-27,10171.85,14762609503
2019-08-26,10361.65,18438654080
2019-08-25,10138.72,14153856610
2019-08-24,10147.96,15451030650
2019-08-23,10410.85,15627023886
2019-08-22,10107.15,17097508856
2019-08-21,10130.0,19473084768
2019-08-20,10769.09,15053082175
2019-08-19,10920.0,16038264603
2019-08-18,10315.48,12999813869
2019-08-17,10217.79,13778035685
2019-08-16,10352.78,20228207096
2019-08-15,10300.01,22899115082
2019-08-14,10025.86,19990838300
2019-08-13,10854.92,16681503537
2019-08-12,11389.28,13647198229
2019-08-11,11540.76,15774371518
2019-08-10,11280.95,18125355447
2019-08-09,11856.1,18339989960
2019-08-08,11981.0,19481591730
2019-08-07,11975.03,22194988641
2019-08-06,11465.49,23635107660
2019-08-05,11819.49,23875988832
2019-08-04,10977.51,16530894787
2019-08-03,10820.76,15352685061
2019-08-02,10533.01,17489094082
2019-08-01,10405.94,17165337858
2019-07-31,10087.3,16631520648
2019-07-30,9589.01,13829811132
2019-07-29,9495.01,13791445323
2019-07-28,9533.0,13738687093
2019-07-27,9479.98,16817809536
2019-07-26,9843.0,14495714483
2019-07-25,9883.33,15821952090
2019-07-24,9772.6,17398734322
2019-07-23,9840.12,17851916995
2019-07-22,10323.39,16334414913
2019-07-21,10590.7,17130580467
2019-07-20,10761.03,20206615155
2019-07-19,10538.06,20727426310
2019-07-18,10649.07,25187024648
2019-07-17,9696.31,24569921549
2019-07-16,9422.72,24151199070
2019-07-15,10854.47,25384047207
2019-07-14,10185.03,22486000001
2019-07-13,11370.08,21042616384
2019-07-12,11802.0,23534692797
2019-07-11,11349.0,28595327690
2019-07-10,12097.96,33627574244
2019-07-09,12571.11,28167921523
2019-07-08,12293.53,23482551458
2019-07-07,11474.42,19369044277
2019-07-06,11237.77,21092024306
2019-07-05,11004.51,23838480210
2019-07-04,11136.0,25920294033
2019-07-03,11976.42,30796494294
2019-07-02,10829.18,31015895223
2019-07-01,10577.63,29378589324
2019-06-30,10761.26,27256473494
