date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2003-10-08,9653.330078,9672.019531,9595.280273,9630.900391,9630.900391,183620000,183620000,-22.42969,-0.23235,9632.73,"October 08, 03",-0.0023235
2003-10-09,9633.349609,9768.69043,9633.200195,9680.009766,9680.009766,254740000,254740000,46.66016,0.48436,9693.97,"October 09, 03",0.0048436
2003-10-10,9682.900391,9712.240234,9656.530273,9674.679688,9674.679688,181510000,181510000,-8.2207,-0.08489918,9681.15,"October 10, 03",-0.0008489918
2003-10-13,9675.719727,9783.490234,9675.570313,9764.379883,9764.379883,166220000,166220000,88.66016,0.91632,9741.15,"October 13, 03",0.0091632
2003-10-14,9763.269531,9812.980469,9732.30957,9812.980469,9812.980469,182210000,182210000,49.71094,0.50916,9786.09,"October 14, 03",0.0050916
2003-10-15,9824.089844,9850.009766,9764.459961,9803.049805,9803.049805,245140000,245140000,-21.04004,-0.21417,9805.84,"October 15, 03",-0.0021417
2003-10-16,9798.679688,9823.419922,9730.379883,9791.719727,9791.719727,209300000,209300000,-6.95996,-0.07102958,9781.84,"October 16, 03",-0.0007102958
2003-10-17,9791.860352,9815.790039,9701.719727,9721.790039,9721.790039,191120000,191120000,-70.07031,-0.7156,9746.43,"October 17, 03",-0.007156
2003-10-20,9721.5,9777.94043,9705.570313,9777.94043,9777.94043,173840000,173840000,56.44043,0.58057,9753.82,"October 20, 03",0.0058057
2003-10-21,9778.30957,9784.30957,9736.679688,9747.639648,9747.639648,207690000,207690000,-30.66992,-0.31365,9756.21,"October 21, 03",-0.0031365
2003-10-22,9741.980469,9742.049805,9580.240234,9598.240234,9598.240234,226890000,226890000,-143.74023,-1.48,9640.18,"October 22, 03",-0.0148
2003-10-23,9597.200195,9622.160156,9551.730469,9613.129883,9613.129883,198250000,198250000,15.92969,0.16598,9595.67,"October 23, 03",0.0016598
2003-10-24,9600.980469,9600.980469,9497.719727,9582.459961,9582.459961,297430000,297430000,-18.52051,-0.1929,9560.39,"October 24, 03",-0.001929
2003-10-27,9584.540039,9663.790039,9584.540039,9608.160156,9608.160156,193710000,193710000,23.62012,0.24644,9618.83,"October 27, 03",0.0024644
2003-10-28,9609.719727,9749.94043,9609.719727,9748.30957,9748.30957,232950000,232950000,138.58984,1.44,9702.66,"October 28, 03",0.0144
2003-10-29,9747.049805,9787.269531,9724.679688,9774.530273,9774.530273,224900000,224900000,27.48047,0.28194,9762.16,"October 29, 03",0.0028194
2003-10-30,9772.009766,9838.759766,9754.009766,9786.610352,9786.610352,239250000,239250000,14.60059,0.14941,9793.13,"October 30, 03",0.0014941
